"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"174",NA,NA,NA,"160 000 Ft/hó",NA,"Örs vezér tere"," XIV. kerület","68 m² terület","3 szoba",NA
"175",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Csengery utca 56, VI. kerület",NA,NA
"176",NA,NA,NA,"547 725 Ft/hó",NA,"Pasarét"," II. kerület","135 m² terület","4 szoba",NA
"177",NA,NA,NA,"90 000 Ft/hó",NA,"Katowice utca 41"," Miskolc","53 m² terület","1 + 2 fél szoba",NA
"178",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Áchim András utca, Szolnok",NA,NA
"179",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Tűzoltó utca 11, Ajka",NA,NA
"180",NA,NA,NA,"195 000 Ft/hó",NA,"Nagy Ignác utca 16"," V. kerület","75 m² terület","2 + 1 fél szoba",NA
"181",NA,NA,NA,"125 000 Ft/hó",NA,"Nagy Ignác utca 16"," V. kerület","42 m² terület","1 szoba",NA
"182",NA,NA,NA,"425 000 Ft/hó",NA,"Dolgos utca"," XII. kerület","84 m² terület","3 szoba","6 m² erkély"
"183",NA,NA,NA,"865 000 Ft/hó",NA,"Bimbó út"," II. kerület","140 m² terület","4 szoba","52 m² erkély"
"184",NA,NA,NA,"130 000 Ft/hó",NA,"Erzsébet tér"," V. kerület","56 m² terület","2 szoba",NA
"185",NA,NA,NA,"180 000 Ft/hó",NA,"Hollán Ernő utca"," XIII. kerület","76 m² terület","3 szoba","7 m² erkély"
"186",NA,NA,NA,"100 000 Ft/hó",NA,"Textilház utca 2"," Tolna","60 m² terület","2 + 1 fél szoba","5 m² erkély"
"187","Csak szoba",NA,NA,"70 000 Ft/hó",NA,"Regiomontanus utca"," Esztergom","10 m² terület","1 szoba",NA
"188",NA,NA,NA,"160 000 Ft/hó",NA,"Csapó utca"," Debrecen","52 m² terület","1 szoba",NA
"189",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Hatház utca, X. kerület",NA,NA
"190",NA,NA,NA,"150 000 Ft/hó",NA,"Hittérítő út"," XXII. kerület","30 m² terület","1 szoba","10 m² erkély"
"191",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","320 000 Ft/hó",NA,"Szilágyi Erzsébet fasor, II. kerület",NA,NA
"192",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","99 000 Ft/hó",NA,"Erzsébet körút 29., VII. kerület",NA,NA
"193",NA,NA,NA,"180 000 Ft/hó",NA,"Pécs",NA,"120 m² terület","3 szoba",NA
"194",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","429 000 Ft/hó",NA,"Ráday utca 3, IX. kerület",NA,NA
"195",NA,NA,NA,"350 000 Ft/hó",NA,"Király utca"," VII. kerület","114 m² terület","3 szoba",NA
"196",NA,NA,NA,"180 000 Ft/hó",NA,"Verseny utca"," VII. kerület","52 m² terület","2 szoba",NA
"197",NA,NA,NA,"250 000 Ft/hó",NA,"Debrecen"," Nagyerdőalja","69 m² terület","1 + 2 fél szoba","5 m² erkély"
"198",NA,NA,NA,"100 000 Ft/hó",NA,"Kápolna utca"," X. kerület","38 m² terület","1 szoba",NA
"199",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Menyhárt József tér 8, Debrecen",NA,NA
"200",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","260 000 Ft/hó",NA,"Bolgár utca, Szentendre",NA,NA
"201",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Raktár utca, III. kerület",NA,NA
"202",NA,NA,NA,"250 000 Ft/hó",NA,"Ó utca"," VI. kerület","75 m² terület","3 szoba",NA
"203",NA,NA,NA,"150 000 Ft/hó",NA,"Páva utca"," IX. kerület","68 m² terület","2 szoba",NA
"204",NA,NA,NA,"140 000 Ft/hó",NA,"Ipar utca"," IX. kerület","36 m² terület","1 + 1 fél szoba","5 m² erkély"
"205",NA,NA,NA,"230 000 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","92 m² terület","3 szoba",NA
"206",NA,NA,NA,"110 000 Ft/hó",NA,"Tavas utca"," X. kerület","35 m² terület","1 szoba",NA
"207",NA,NA,NA,"105 000 Ft/hó",NA,"Debrecen"," Sestakert","61 m² terület","3 szoba","4 m² erkély"
"208",NA,NA,NA,"75 000 Ft/hó",NA,"Málomi út"," Pécs","28 m² terület","1 szoba","3 m² erkély"
"209",NA,NA,NA,"40 000 Ft/hó",NA,"Havanna utca"," XVIII. kerület","35 m² terület","1 + 1 fél szoba",NA
"210",NA,NA,NA,"130 000 Ft/hó",NA,"Szentpéteri kapu 57"," Miskolc","97 m² terület","3 szoba","6 m² erkély"
"211",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","99 000 Ft/hó",NA,"Bajnok utca, Sopron",NA,NA
"212",NA,NA,NA,"100 000 Ft/hó",NA,"Lovas út"," I. kerület","28 m² terület","1 szoba",NA
"213",NA,NA,NA,"250 000 Ft/hó",NA,"Bajcsy-Zsilinszky utca"," Debrecen","71 m² terület","2 szoba",NA
"214",NA,NA,NA,"600 000 Ft/hó",NA,"Rákoscsaba"," XVII. kerület","150 m² terület","3 szoba",NA
"215",NA,NA,NA,"230 000 Ft/hó",NA,"Ó utca"," VI. kerület","75 m² terület","2 + 1 fél szoba",NA
"216",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Kosárka sétány 4., IX. kerület",NA,NA
"217",NA,NA,NA,"370 000 Ft/hó",NA,"Izabella utca 63"," VI. kerület","103 m² terület","3 szoba","2 m² erkély"
"218",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","165 000 Ft/hó",NA,"Kettőspince sor, Esztergom",NA,NA
"219",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","180 000 Ft/hó",NA,"Vasvári Pál utca, Esztergom",NA,NA
"220",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Vasvári Pál utca, Esztergom",NA,NA
"221",NA,NA,NA,"140 000 Ft/hó",NA,"Hungária körút"," XIV. kerület","27 m² terület","1 szoba","16 m² erkély"
"222","Csak szoba",NA,NA,"80 000 Ft/hó",NA,"Pomázi út"," Szentendre","16 m² terület","1 szoba",NA
"223",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","105 000 Ft/hó",NA,"Fő utca, Kaposvár",NA,NA
"224",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","105 000 Ft/hó",NA,"Kazinczy utca, VII. kerület",NA,NA
"225",NA,NA,NA,"80 000 Ft/hó",NA,"Kóny",NA,"38 m² terület","1 szoba",NA
"226",NA,NA,NA,"150 000 Ft/hó",NA,"Hám Kálmán lakótelep"," Dorog","51 m² terület","2 szoba",NA
"227",NA,NA,NA,"1 058 935 Ft/hó",NA,"Vérhalom utca 12-14"," II. kerület","147 m² terület","5 szoba","25 m² erkély"
"228",NA,NA,NA,"620 755 Ft/hó",NA,"Pusztaszeri út"," II. kerület","115 m² terület","4 szoba","12 m² erkély"
"229",NA,NA,NA,"45 000 Ft/hó",NA,"Csorna",NA,"114 m² terület","3 szoba",NA
"230",NA,NA,NA,"130 000 Ft/hó",NA,"Árpád út 25"," Tiszaújváros","55 m² terület","2 szoba","3 m² erkély"
"231",NA,NA,NA,"100 000 Ft/hó",NA,"Budai Nagy Antal utca"," Esztergom","49 m² terület","1 + 1 fél szoba",NA
"232",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Fecske utca 9, Kecskemét",NA,NA
"233",NA,NA,NA,"200 000 Ft/hó",NA,"Ószőlő utca 14"," Nyíregyháza","103 m² terület","4 szoba","15 m² erkély"
"234",NA,NA,NA,"150 000 Ft/hó",NA,"Tolnai út 4"," Paks","54 m² terület","2 szoba",NA
"235",NA,NA,NA,"499 000 Ft/hó",NA,"Szilágyi Dezső tér"," I. kerület","81 m² terület","3 szoba",NA
"236",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Honvéd utca X, Debrecen",NA,NA
"237",NA,NA,NA,"90 000 Ft/hó",NA,"Fő út"," Szentgotthárd","35 m² terület","1 szoba",NA
"238",NA,NA,NA,"300 000 Ft/hó",NA,"Bem József tér"," II. kerület","75 m² terület","2 + 1 fél szoba","15 m² erkély"
"239",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","55 000 Ft/hó",NA,"Hollósy Simon utca, XII. kerület",NA,NA
"240",NA,NA,NA,"370 000 Ft/hó",NA,"Izabella utca"," VI. kerület","103 m² terület","3 szoba",NA
"241",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Bartók Béla út 2, Tiszaújváros",NA,NA
"242",NA,NA,NA,"650 000 Ft/hó",NA,"Belső-Ferencváros"," IX. kerület","117 m² terület","4 szoba",NA
"243",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","200 000 Ft/hó",NA,"Szirtes út 30, I. kerület",NA,NA
"244",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","90 000 Ft/hó",NA,"Dózsa György út, Dunaújváros",NA,NA
"245",NA,NA,NA,"100 000 Ft/hó",NA,"Harmat utca"," X. kerület","28 m² terület","1 szoba",NA
"246",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Gyimes utca 2, XII. kerület",NA,NA
"247",NA,NA,NA,"390 000 Ft/hó",NA,"Lipótváros"," V. kerület","122 m² terület","4 szoba",NA
"248",NA,NA,NA,"790 000 Ft/hó",NA,"Krisztinaváros - Városmajor"," XII. kerület","189 m² terület","10 szoba",NA
"249",NA,NA,NA,"170 000 Ft/hó",NA,"Kuny Domokos utca"," I. kerület","69 m² terület","2 szoba",NA
"250","Új építésű",NA,NA,"912 875 Ft/hó",NA,"Tárogató út"," II. kerület","115 m² terület","4 szoba","25 m² erkély"
"251",NA,NA,NA,"65 000 Ft/hó",NA,"Szentgyörgy út"," Miskolc","37 m² terület","1 + 1 fél szoba","4 m² erkély"
"252",NA,NA,NA,"35 000 Ft/hó",NA,"Németh Kálmán út 38/A"," Fót","16 m² terület","1 szoba",NA
"253",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","65 000 Ft/hó",NA,"Szentgyörgy út, Miskolc",NA,NA
"254",NA,NA,NA,"195 000 Ft/hó",NA,"Belső-Terézváros"," VI. kerület","65 m² terület","2 szoba",NA
"255",NA,NA,NA,"390 000 Ft/hó",NA,"Kissvábhegy"," XII. kerület","114 m² terület","4 szoba",NA
"256",NA,NA,NA,"230 000 Ft/hó",NA,"Víziváros"," II. kerület","94 m² terület","3 szoba","2 m² erkély"
"257",NA,NA,NA,"140 000 Ft/hó",NA,"Vitkovics Mihály utca"," V. kerület","28 m² terület","1 szoba","2 m² erkély"
"258",NA,NA,NA,"100 000 Ft/hó",NA,"Pécs",NA,"62 m² terület","2 szoba",NA
"259",NA,NA,NA,"90 000 Ft/hó",NA,"Dr. Korányi Frigyes utca 3"," Hévíz","61 m² terület","2 szoba","6 m² erkély"
"260",NA,NA,NA,"235 000 Ft/hó",NA,"Siófok"," Aranypart","48 m² terület","2 + 1 fél szoba","13 m² erkély"
"261",NA,NA,NA,"230 000 Ft/hó",NA,"Víziváros - Váralja"," I. kerület","92 m² terület","3 szoba",NA
"262",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","120 000 Ft/hó",NA,"Építész utca 14, XI. kerület",NA,NA
"263",NA,NA,NA,"95 000 Ft/hó",NA,"Karcag utca"," XI. kerület","46 m² terület","1 + 1 fél szoba","3 m² erkély"
"264",NA,NA,NA,"2 008 325 Ft/hó",NA,"Vérhalom"," II. kerület","140 m² terület","4 szoba","20 m² erkély"
"265",NA,NA,NA,"200 000 Ft/hó",NA,"Ács",NA,"60 m² terület","2 szoba",NA
"266",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","148 000 Ft/hó",NA,"Szárcsa utca, Székesfehérvár",NA,NA
"267",NA,NA,NA,"95 000 Ft/hó",NA,"Kóny",NA,"28 m² terület","1 szoba",NA
"268",NA,NA,NA,"150 000 Ft/hó",NA,"Honvéd utca"," V. kerület","60 m² terület","2 szoba",NA
"269",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Üllői út, VIII. kerület",NA,NA
"270",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","165 000 Ft/hó",NA,"Homokóra utca, II. kerület",NA,NA
"271",NA,NA,NA,"260 000 Ft/hó",NA,"Józsefváros - Palotanegyed"," VIII. kerület","78 m² terület","3 szoba",NA
"272",NA,NA,NA,"260 000 Ft/hó",NA,"Józsefváros - Palotanegyed"," VIII. kerület","78 m² terület","3 szoba",NA
"273",NA,NA,NA,"60 000 Ft/hó",NA,"Fás utca"," XX. kerület","200 m² terület","1 szoba",NA
"274",NA,NA,NA,"250 000 Ft/hó",NA,"Jégverem utca"," I. kerület","66 m² terület","2 szoba",NA
"275",NA,NA,NA,"130 000 Ft/hó",NA,"Hadházi út"," Debrecen","45 m² terület","1 szoba",NA
"276",NA,NA,NA,"50 000 Ft/hó",NA,"Sár utca"," Székesfehérvár","30 m² terület","1 szoba",NA
"277","Csak szoba",NA,NA,"35 000 Ft/hó",NA,"Németh Kálmán út 38/A"," Fót","12 m² terület","1 szoba",NA
"278","Új építésű",NA,NA,"190 000 Ft/hó",NA,"Déri Miksa utca"," VIII. kerület","55 m² terület","3 szoba","5 m² erkély"
"279",NA,NA,NA,"350 000 Ft/hó",NA,"Tópart utca 5-7"," Tata","102 m² terület","3 szoba",NA
"280",NA,NA,NA,"155 000 Ft/hó",NA,"Király utca"," VI. kerület","88 m² terület","3 szoba",NA
"281",NA,NA,NA,"170 000 Ft/hó",NA,"Podmaniczky utca"," VI. kerület","93 m² terület","3 szoba",NA
"282",NA,NA,NA,"120 000 Ft/hó",NA,"Balatonkenese"," Városközpont","33 m² terület","1 szoba",NA
"283",NA,NA,NA,"220 000 Ft/hó",NA,"Orczy út"," VIII. kerület","89 m² terület","3 szoba",NA
"284",NA,NA,NA,"110 000 Ft/hó",NA,"Hajós utca"," VI. kerület","30 m² terület","1 szoba","2 m² erkély"
"285",NA,NA,NA,"40 000 Ft/hó",NA,"Bethlen utca"," Debrecen","13 m² terület","1 szoba","10 m² erkély"
"286",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Hétvezér utca, Szeged",NA,NA
"287",NA,NA,NA,"130 000 Ft/hó",NA,"Hadházi út"," Debrecen","46 m² terület","1 + 1 fél szoba","2 m² erkély"
"288",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","130 000 Ft/hó",NA,"Pásthy Károly utca 4, Kecskemét",NA,NA
"289",NA,NA,NA,"160 000 Ft/hó",NA,"Karolina út"," XI. kerület","51 m² terület","1 + 1 fél szoba",NA
"290",NA,NA,NA,"35 000 Ft/hó",NA,"Ikva utca"," Győr","7 m² terület","0 + 1 fél szoba",NA
"291",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","160 000 Ft/hó",NA,"Liget utca, Budaörs",NA,NA
"292",NA,NA,NA,"130 000 Ft/hó",NA,"Lónyay utca"," IX. kerület","45 m² terület","1 + 1 fél szoba",NA
"293",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","110 000 Ft/hó",NA,"Üllői út, IX. kerület",NA,NA
"294","Régen frissült",NA,NA,"985 905 Ft/hó",NA,"Lechner Ödön fasor"," IX. kerület","158 m² terület","3 + 1 fél szoba","27 m² erkély"
"295","Videó elérhető",NA,NA,"695 000 Ft/hó",NA,"Lechner Ödön fasor"," IX. kerület","158 m² terület","3 + 1 fél szoba","27 m² erkély"
"296",NA,NA,NA,"290 000 Ft/hó",NA,"Károly körút 13-15."," V. kerület","58 m² terület","3 szoba",NA
"297",NA,NA,NA,"190 000 Ft/hó",NA,"Balassi Bálint utca"," V. kerület","69 m² terület","1 szoba",NA
"298",NA,NA,NA,"140 000 Ft/hó",NA,"Barátság lakótelep"," Komárom","64 m² terület","3 szoba","4 m² erkély"
"299",NA,NA,NA,"220 000 Ft/hó",NA,"Antall József utca"," Debrecen","43 m² terület","2 szoba",NA
"300","Új építésű",NA,NA,"700 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","128 m² terület","4 + 1 fél szoba","16 m² erkély"
"301","Új építésű",NA,NA,"120 000 Ft/hó",NA,"Kapuvár",NA,"44 m² terület","1 szoba",NA
"302",NA,NA,NA,"150 000 Ft/hó",NA,"Debrecen"," Belváros","40 m² terület","1 szoba",NA
"303",NA,NA,NA,"150 000 Ft/hó",NA,"Herman Ottó utca"," Pécs","47 m² terület","1 + 1 fél szoba","15 m² erkély"
"304",NA,NA,NA,"100 000 Ft/hó",NA,"Sallai utca"," Maglód","35 m² terület","1 szoba","30 m² erkély"
"305",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","140 000 Ft/hó",NA,"Koller utca 7., Pécs",NA,NA
"306","Új építésű",NA,NA,"140 000 Ft/hó",NA,"Kapuvár",NA,"60 m² terület","2 szoba","14 m² erkély"
"307",NA,NA,NA,"250 000 Ft/hó",NA,"Lipótváros"," V. kerület","42 m² terület","2 szoba",NA
"308",NA,NA,NA,"430 000 Ft/hó",NA,"Andrássy út"," VI. kerület","78 m² terület","2 szoba",NA
"309",NA,NA,NA,"999 000 Ft/hó",NA,"Donáti utca"," I. kerület","200 m² terület","5 szoba","14 m² erkély"
"310",NA,NA,NA,"215 000 Ft/hó",NA,"Lónyay utca"," IX. kerület","81 m² terület","3 szoba",NA
"311",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","100 000 Ft/hó",NA,"Pöltenberg Ernő utca 8, IV. kerület",NA,NA
"312",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","185 000 Ft/hó",NA,"Szépvölgyi út 2/a, II. kerület",NA,NA
"313",NA,NA,NA,"540 000 Ft/hó",NA,"Józsefváros - Palotanegyed"," VIII. kerület","120 m² terület","3 szoba",NA
"314",NA,NA,NA,"260 000 Ft/hó",NA,"Stáhly utca"," VIII. kerület","78 m² terület","3 + 1 fél szoba",NA
"315",NA,NA,NA,"285 000 Ft/hó",NA,"Belváros"," V. kerület","59 m² terület","2 szoba",NA
"316","Régen frissült",NA,NA,"180 000 Ft/hó",NA,"Visegrádi utca"," XIII. kerület","66 m² terület","2 + 1 fél szoba",NA
"317",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","80 000 Ft/hó",NA,"Ferenc körút, Nyíregyháza",NA,NA
"318",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","150 000 Ft/hó",NA,"Kútföldi utca 3, II. kerület",NA,NA
"319",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","250 000 Ft/hó",NA,"Petőfi Sándor utca 3, V. kerület",NA,NA
"320",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","400 000 Ft/hó",NA,"Csipkebogyó utca, XXII. kerület",NA,NA
"321",NA,NA,NA,"Elrejtetted ezt az ingatlant és az összes hozzá tartozó hirdetést. Legközelebb nem fog megjelenni a találati listában."," Megjelenítés","400 000 Ft/hó",NA,"Csipkebogyó utca, XXII. kerület",NA,NA
